epoch,co2,temp,humid,count
1759223460,487,20.64202,83.98108,0
1759223490,487,20.60998,83.61639,0
1759223520,488,20.53788,83.31579,0
1759223550,489,20.52987,83.00145,0
1759223580,485,20.56726,82.68406,0
1759223610,480,20.59663,82.82292,0
1759223640,483,20.60731,83.88037,0
1759223670,487,20.626,84.66926,4
1759223700,490,20.68475,85.10262,4
1759223730,493,20.73281,85.47494,4
1759223760,498,20.83429,85.89456,4
1759223790,497,20.92775,86.36912,4
1759223820,499,21.07462,86.54307,4
1759223850,502,21.13069,86.74906,4
1759223880,503,21.19478,86.94743,4
1759223910,506,21.17876,86.23636,4
1759223940,501,20.97849,85.1194,4
1759223970,502,20.73549,84.55787,4
1759224000,506,20.71145,84.40833,4
1759224030,506,20.7435,84.20386,4
1759224060,507,20.70077,83.91394,4
1759224090,509,20.6714,83.48211,7
1759224120,511,20.49783,83.11742,7
1759224150,513,20.26284,83.03502,7
1759224180,517,20.34562,83.98108,7
1759224210,526,20.41237,84.97292,7
1759224240,531,20.49249,85.50546,7
1759224270,535,20.67674,85.90524,7
1759224300,539,20.81827,86.15396,7
1759224330,544,20.9144,86.41032,7
1759224360,542,21.03456,86.32639,7
1759224390,549,21.15473,86.46525,7
1759224420,552,21.20813,86.37522,7
1759224450,559,21.10132,85.49935,7
1759224480,562,20.8957,84.44801,7
1759224510,562,20.78088,84.20386,7
1759224540,562,20.75952,83.97803,7
1759224570,563,20.71679,83.82849,7
1759224600,561,20.68742,83.63775,7
1759224630,566,20.71412,83.39361,7
1759224660,569,20.63935,83.17235,7
1759224690,569,20.53254,82.59251,7
1759224720,569,20.42573,82.43687,7
1759224750,572,20.3563,82.61692,7
1759224780,577,20.4551,83.86053,7
1759224811,580,20.61265,84.46937,7
1759224841,580,20.70077,84.95003,7
1759224871,581,20.78088,85.35439,7
1759224901,588,20.92508,85.50851,7
1759224931,585,21.00786,85.63668,7
1759224961,588,21.07996,85.80301,7
1759224991,594,21.02655,85.00191,7
